text,author_token,ts,id,created_date,updated_date,created_by_id,created_by,is_sample
"Ensure that when the technology is ready, people also have the necessary skills to operate it.","30545a77-664a-44d4-9d54-a7c1993a32b9","2026-01-10T11:57:57.654Z","69623ec668afe0c8507ae99c","2026-01-10T11:57:58.566000","2026-01-10T11:57:58.566000","anonymous","anonymous","false"
"The meeting reports must be exported from the real-time system.","30545a77-664a-44d4-9d54-a7c1993a32b9","2026-01-10T11:56:09.667Z","69623e5ae0640bffa8f7cf43","2026-01-10T11:56:10.535000","2026-01-10T11:56:10.535000","anonymous","anonymous","false"
"Establish regular digital skills training programs.","30545a77-664a-44d4-9d54-a7c1993a32b9","2026-01-10T11:54:55.373Z","69623e109a7f36eb1d1a48ed","2026-01-10T11:54:56.044000","2026-01-10T11:54:56.045000","anonymous","anonymous","false"
"Request parts quickly, eliminate unnecessary intermediate steps.","30545a77-664a-44d4-9d54-a7c1993a32b9","2026-01-10T11:53:56.059Z","69623dd4e66dc12580f9c683","2026-01-10T11:53:56.996000","2026-01-10T11:53:56.996000","anonymous","anonymous","false"
"Continuous improvement","7cb82cfd-fb62-4f52-9d5d-7a429aef0680","2026-01-09T19:35:31.680Z","696158837f58e0d57d733b8c","2026-01-09T19:35:31.690000","2026-01-09T19:35:31.690000","anonymous","anonymous","false"
"Reorganize, train all employees to be ready to work effectively within the digital system.","7cb82cfd-fb62-4f52-9d5d-7a429aef0680","2026-01-09T19:34:32.776Z","6961584bb637af3b2c5f3e6c","2026-01-09T19:34:35.280000","2026-01-09T19:34:35.280000","anonymous","anonymous","false"
"Consider solutions: processes, application systems, technologies, etc.","7cb82cfd-fb62-4f52-9d5d-7a429aef0680","2026-01-09T19:21:00.244Z","6961551ccba94fc1792e4fef","2026-01-09T19:21:00.453000","2026-01-09T19:21:00.453000","anonymous","anonymous","false"
"Build KPIs for each department based on digital transformation objectives","7cb82cfd-fb62-4f52-9d5d-7a429aef0680","2026-01-09T19:20:03.066Z","696154e25b8fa78b07efe2c5","2026-01-09T19:20:02.915000","2026-01-09T19:20:02.915000","anonymous","anonymous","false"
"Define digital transformation objectives.","7cb82cfd-fb62-4f52-9d5d-7a429aef0680","2026-01-09T19:19:00.745Z","696154a549312a96c61f163b","2026-01-09T19:19:01.969000","2026-01-09T19:19:01.969000","anonymous","anonymous","false"
"Implement a reward, punishment policy for each milestone.","a286d5ad-f97f-4e1f-88c7-4d6e9234c1c8","2026-01-09T18:45:54.124Z","69614ce1092a925863efe17f","2026-01-09T18:45:53.857000","2026-01-09T18:45:53.857000","anonymous","anonymous","false"
"Establish a channel for sharing information on controlling strategic goals.","a286d5ad-f97f-4e1f-88c7-4d6e9234c1c8","2026-01-09T18:45:15.187Z","69614cba06256ac12cf13ec3","2026-01-09T18:45:14.889000","2026-01-09T18:45:14.889000","anonymous","anonymous","false"
"Regularly review, update strategic goals to align with the company's actual needs.","a286d5ad-f97f-4e1f-88c7-4d6e9234c1c8","2026-01-09T18:44:47.333Z","69614c9f694da8029173bc8d","2026-01-09T18:44:47.052000","2026-01-09T18:44:47.052000","anonymous","anonymous","false"
"Develop a roadmap for achieving strategic goals, defining specific targets for each milestone in the roadmap.","a286d5ad-f97f-4e1f-88c7-4d6e9234c1c8","2026-01-09T18:43:34.253Z","69614c5693ce0292bfcf2548","2026-01-09T18:43:34.232000","2026-01-09T18:43:34.232000","anonymous","anonymous","false"
"Conduct periodic performance reviews, reward/penalty programs.","b828caf0-4cef-4a31-9cf0-102b91841982","2026-01-09T17:52:47.315Z","6961406f96a6a2b22a8083c3","2026-01-09T17:52:47.469000","2026-01-09T17:52:47.469000","anonymous","anonymous","false"
"Conduct regular compliance checks.","b828caf0-4cef-4a31-9cf0-102b91841982","2026-01-09T17:47:39.579Z","69613f3bb3356976f6a60931","2026-01-09T17:47:39.705000","2026-01-09T17:47:39.705000","anonymous","anonymous","false"
"Provide regular training to refresh knowledge related to digital transformation.","b828caf0-4cef-4a31-9cf0-102b91841982","2026-01-09T17:45:27.043Z","69613eb74c3f8190091231a4","2026-01-09T17:45:27.263000","2026-01-09T17:45:27.263000","anonymous","anonymous","false"
"Communicate to employees the importance of process adherence, data accuracy when implementing digitalization.","b828caf0-4cef-4a31-9cf0-102b91841982","2026-01-09T17:43:46.099Z","69613e532106c691db26a56e","2026-01-09T17:43:47.260000","2026-01-09T17:43:47.260000","anonymous","anonymous","false"
"Communicate to employees that digital transformation brings about positive, far reaching changes, from work progresses to daily problem-solving.","b828caf0-4cef-4a31-9cf0-102b91841982","2026-01-09T17:30:39.914Z","69613b40078b23352ef473eb","2026-01-09T17:30:40.429000","2026-01-09T17:30:40.429000","anonymous","anonymous","false"
"Provide the best environment for digital transformation operations: training, system, data, infrastructure, ect...","fed6c52e-3491-40cf-91df-5c9a734a0926","2026-01-09T17:07:13.418Z","696135c28d0ecab4645bfd1f","2026-01-09T17:07:14.143000","2026-01-09T17:07:14.143000","anonymous","anonymous","false"
"Communicate the advantage of digital transformation, the significant changes It will bring, so that employees are actively ready to embrace it.","fed6c52e-3491-40cf-91df-5c9a734a0926","2026-01-09T17:05:06.128Z","696135426bbb7cfb720b26b4","2026-01-09T17:05:06.591000","2026-01-09T17:05:06.591000","anonymous","anonymous","false"
"The project team monitors progress, updates changes to objectives. The information must be updated to all team memebers.","fed6c52e-3491-40cf-91df-5c9a734a0926","2026-01-09T16:57:02.876Z","6961335f4f26a8154fb3d097","2026-01-09T16:57:03.214000","2026-01-09T16:57:03.214000","anonymous","anonymous","false"
"Clarify strategic objectives, phase objectives. These objectives must be agreed upon by all departments, approved by leadership.","fed6c52e-3491-40cf-91df-5c9a734a0926","2026-01-09T16:49:19.517Z","69613190370dd5f27f51b51e","2026-01-09T16:49:20.302000","2026-01-09T16:49:20.302000","anonymous","anonymous","false"
"Thorough training, timely support throughout the digitalization process.","eb0fc86c-c0b4-447e-a72b-785aa6e61518","2026-01-06T09:52:09.069Z","695cdb498b2225acf47588b2","2026-01-06T09:52:09.886000","2026-01-06T09:52:09.886000","anonymous","anonymous","false"
"Commitment to fully implement the results of the digital transformation process,","eb0fc86c-c0b4-447e-a72b-785aa6e61518","2026-01-06T09:51:07.480Z","695cdb0d37003bbfcd3ccb42","2026-01-06T09:51:09.431000","2026-01-06T09:51:09.431000","anonymous","anonymous","false"
"Implement a policy of rewarding, promoting active members at each milestone.","eb0fc86c-c0b4-447e-a72b-785aa6e61518","2026-01-06T09:39:15.874Z","695cd844360395be926f7a4e","2026-01-06T09:39:16.964000","2026-01-06T09:39:16.964000","anonymous","anonymous","false"
"Communicate to ensure understanding of the importance of collaboration from all departments to achieve common goals.","eb0fc86c-c0b4-447e-a72b-785aa6e61518","2026-01-06T09:37:45.587Z","695cd7ead3f4b81be7194bdd","2026-01-06T09:37:46.607000","2026-01-06T09:37:46.607000","anonymous","anonymous","false"
"Regularly update top management on KPIs, overall goals progress.","eb0fc86c-c0b4-447e-a72b-785aa6e61518","2026-01-06T09:35:33.847Z","695cd7664380b60b00dfa8de","2026-01-06T09:35:34.987000","2026-01-06T09:35:34.987000","anonymous","anonymous","false"
"Develop KPIs for departments based on the overall digitalization goals.","eb0fc86c-c0b4-447e-a72b-785aa6e61518","2026-01-06T09:31:14.617Z","695cd6640ba0dc5235852602","2026-01-06T09:31:16.114000","2026-01-06T09:31:16.114000","anonymous","anonymous","false"
"Activate a mechanism to check compliance with procedures,  processes, the accuracy of data.","7372d8df-8801-4122-acd5-a879fc9db86b","2025-12-15T17:11:31.448Z","695cd203abb3cc6a95472da1","2026-01-06T09:12:35.237000","2026-01-06T09:12:35.237000","anonymous","anonymous","false"
"Request reports extracted directly from the system instead of viewing Excel files, printed documents.","cdecce63-879c-40b2-b10f-9c7fa53bd875","2026-01-06T09:11:18.393Z","695cd1b61c2f72d78f0598fc","2026-01-06T09:11:18.442000","2026-01-06T09:11:18.442000","anonymous","anonymous","false"
"Provide thorough training, timely suport throughout the initial phrase of digitalization implement,","7372d8df-8801-4122-acd5-a879fc9db86b","2025-12-15T17:08:11.873Z","695cd13bdcb11b668666a780","2026-01-06T09:09:15.628000","2026-01-06T09:09:15.628000","anonymous","anonymous","false"
"Select the best personnel from various departments to focus on the digitalization project.","cdecce63-879c-40b2-b10f-9c7fa53bd875","2026-01-06T09:08:19.301Z","695cd103e7226e5cc8aa5205","2026-01-06T09:08:19.408000","2026-01-06T09:08:19.408000","anonymous","anonymous","false"
"Select technology solution that matches capacibilities, practical requirements.","7372d8df-8801-4122-acd5-a879fc9db86b","2025-12-15T17:06:07.469Z","695cd0bf8984a060e27177a2","2026-01-06T09:07:11.324000","2026-01-06T09:07:11.324000","anonymous","anonymous","false"
"Allocate budget in stages to achieve each milestone.","cdecce63-879c-40b2-b10f-9c7fa53bd875","2026-01-06T09:05:32.331Z","695cd05ca41dfc378cc2fb6a","2026-01-06T09:05:32.721000","2026-01-06T09:05:32.721000","anonymous","anonymous","false"
"Communicate to each member to understand the importance of compliance, accuracy, timeliness when implement digitalization.","7372d8df-8801-4122-acd5-a879fc9db86b","2025-12-15T17:04:21.722Z","695cd0566859440ace1f0374","2026-01-06T09:05:26.051000","2026-01-06T09:05:26.051000","anonymous","anonymous","false"
"There is a reward system for individuals who are poineers in successfully applying new technologies.","cdecce63-879c-40b2-b10f-9c7fa53bd875","2026-01-06T08:54:44.726Z","695ccdd4c9afeb98c54493ba","2026-01-06T08:54:44.922000","2026-01-06T08:54:44.922000","anonymous","anonymous","false"
"Clarify how it helps employees in their work.","cdecce63-879c-40b2-b10f-9c7fa53bd875","2026-01-06T08:51:50.216Z","695ccd266b5a4765975010c1","2026-01-06T08:51:50.384000","2026-01-06T08:51:50.384000","anonymous","anonymous","false"
"Try to retain talented people.","cdecce63-879c-40b2-b10f-9c7fa53bd875","2026-01-06T08:49:58.857Z","695cccb76859440ace1ef871","2026-01-06T08:49:59.113000","2026-01-06T08:49:59.113000","anonymous","anonymous","false"
"Two KPIs will be established after implementing the technology; which one will be used for evaluation?","ad1b9e2e-51bb-4e90-a9ad-816022f82dc4","2026-01-06T05:44:23.729Z","695ca1380d03a9f4ab4f3667","2026-01-06T05:44:24.185000","2026-01-06T05:44:24.185000","anonymous","anonymous","false"
"Invest in infrastructure, software licenses, personnel training.","ad1b9e2e-51bb-4e90-a9ad-816022f82dc4","2026-01-06T05:40:14.063Z","695ca03ede38cce0ddc2a03b","2026-01-06T05:40:14.419000","2026-01-06T05:40:14.419000","anonymous","anonymous","false"
"Let employees (and middle managers) know that new technology wil not cost them their jobs.","ad1b9e2e-51bb-4e90-a9ad-816022f82dc4","2026-01-06T05:38:15.616Z","695c9fc800ae14b00cbc8dc1","2026-01-06T05:38:16.049000","2026-01-06T05:38:16.049000","anonymous","anonymous","false"
"Invest heavily in security systems","ad1b9e2e-51bb-4e90-a9ad-816022f82dc4","2026-01-06T05:35:56.953Z","695c9f3dd3532ccd05f0f166","2026-01-06T05:35:57.463000","2026-01-06T05:35:57.463000","anonymous","anonymous","false"
"Team Sharing Session","403fcc5a-e686-45f2-bcab-23af322043b8","2026-01-05T21:12:51.722Z","695c29534847f0ce87dedcf8","2026-01-05T21:12:51.957000","2026-01-05T21:12:51.957000","anonymous","anonymous","false"
"Improve Communication Through other department","403fcc5a-e686-45f2-bcab-23af322043b8","2026-01-05T21:11:31.108Z","695c2903e88bf14c30ea00b4","2026-01-05T21:11:31.262000","2026-01-05T21:11:31.262000","anonymous","anonymous","false"
"Create Working System","403fcc5a-e686-45f2-bcab-23af322043b8","2026-01-05T21:11:04.411Z","695c28e8d6fc39a4c98a14c9","2026-01-05T21:11:04.552000","2026-01-05T21:11:04.552000","anonymous","anonymous","false"
"Self Learning Process","403fcc5a-e686-45f2-bcab-23af322043b8","2026-01-05T21:10:46.266Z","695c28d6a203a012babb6234","2026-01-05T21:10:46.635000","2026-01-05T21:10:46.635000","anonymous","anonymous","false"
"Commit to being ready to adapt to effectively implement tobe processes.","ab659953-8333-4356-ac9b-53729fb97748","2026-01-05T18:36:22.826Z","695c04a7f824e832f47d8a7b","2026-01-05T18:36:23.023000","2026-01-05T18:36:23.023000","anonymous","anonymous","false"
"Commit to provide appropriate resources for digitalization.","ab659953-8333-4356-ac9b-53729fb97748","2026-01-05T18:33:54.348Z","695c0412a542d298697f2a4c","2026-01-05T18:33:54.584000","2026-01-05T18:33:54.584000","anonymous","anonymous","false"
"Creat fit/gap tables, regularly update processing status to department members","ab659953-8333-4356-ac9b-53729fb97748","2026-01-05T18:32:43.700Z","695c03cb6ff1bc0ae7776f0b","2026-01-05T18:32:43.887000","2026-01-05T18:32:43.887000","anonymous","anonymous","false"
"Set specific, measurable requirements for digitalization projects based on departmental goals","ab659953-8333-4356-ac9b-53729fb97748","2026-01-05T18:30:37.621Z","695c034d99528b121cd05c16","2026-01-05T18:30:37.807000","2026-01-05T18:30:37.807000","anonymous","anonymous","false"
"Break down strategic goals into departmental goals","ab659953-8333-4356-ac9b-53729fb97748","2026-01-05T18:28:54.160Z","695c02e9c431c7feaeffe2ec","2026-01-05T18:28:57.010000","2026-01-05T18:28:57.010000","anonymous","anonymous","false"
"Closely manage changes in personnel, processes, organization.","dfbc11e3-d5d5-4bcc-b914-d89ffa62854f","2026-01-05T18:12:42.092Z","695bff1ac48631b3adca4af6","2026-01-05T18:12:42.839000","2026-01-05T18:12:42.839000","anonymous","anonymous","false"
"Create the best possible environment for digitalization implementation: training, documentation, procedures, regulations, etc.","dfbc11e3-d5d5-4bcc-b914-d89ffa62854f","2026-01-05T18:12:07.564Z","695bfef8ec9a2540846c0bee","2026-01-05T18:12:08.318000","2026-01-05T18:12:08.318000","anonymous","anonymous","false"
"Focus on preparing appropriate resources for substantive changes in company operations after digitalization.","dfbc11e3-d5d5-4bcc-b914-d89ffa62854f","2026-01-05T18:11:42.093Z","695bfeded0fac90608a86445","2026-01-05T18:11:42.858000","2026-01-05T18:11:42.858000","anonymous","anonymous","false"
"Communicate the company's digital transformation goals, roadmap,  plans to everyone.","dfbc11e3-d5d5-4bcc-b914-d89ffa62854f","2026-01-05T18:10:55.728Z","695bfeb049bdce1800054d79","2026-01-05T18:10:56.702000","2026-01-05T18:10:56.702000","anonymous","anonymous","false"
"Regularly update the requirements to suit the global market context.","35569596-4e4f-4ef8-ba25-8e0b36d7c77c","2026-01-05T16:20:05.836Z","695be4b6f3b60da0c67d717f","2026-01-05T16:20:06.583000","2026-01-05T16:20:06.583000","anonymous","anonymous","false"
"Communicate the company's digital transformation roadmap to employees, partners.","35569596-4e4f-4ef8-ba25-8e0b36d7c77c","2026-01-05T16:13:55.839Z","695be3447020dda6c146ce7a","2026-01-05T16:13:56.586000","2026-01-05T16:13:56.586000","anonymous","anonymous","false"
"Monitor, update to members on the progress of the digitization process throughout.","35569596-4e4f-4ef8-ba25-8e0b36d7c77c","2026-01-05T16:13:27.627Z","695be328d1a9b6435b4f2a75","2026-01-05T16:13:28.753000","2026-01-05T16:13:28.753000","anonymous","anonymous","false"
"To combines improvement ideas from department members based on practical experience to achieve department goals.","35569596-4e4f-4ef8-ba25-8e0b36d7c77c","2026-01-05T16:12:14.022Z","695be2deb254a16120c3de01","2026-01-05T16:12:14.471000","2026-01-05T16:12:14.471000","anonymous","anonymous","false"
"Analyze top manager objectives into specific departmental requirements, focusing on meeting industry specifics, market demands.","35569596-4e4f-4ef8-ba25-8e0b36d7c77c","2026-01-05T16:06:14.601Z","695be1778fa01f99647c37c0","2026-01-05T16:06:15.115000","2026-01-05T16:06:15.115000","anonymous","anonymous","false"
"Assigning the right personnel to participate in the digital transformation project: considering their capabilities, responsibilities, passion,  time availability.","c9a109b8-eb5c-4ec3-b8c4-7c0dbf4de12b","2026-01-05T15:37:56.993Z","695bdad5646924b3fb0f579d","2026-01-05T15:37:57.382000","2026-01-05T15:37:57.382000","anonymous","anonymous","false"
"Establish a commitment to achieving the common goals of all departments.","c9a109b8-eb5c-4ec3-b8c4-7c0dbf4de12b","2026-01-05T15:37:21.823Z","695bdab29c08a22c055703fa","2026-01-05T15:37:22.035000","2026-01-05T15:37:22.035000","anonymous","anonymous","false"
"Set specific, measurable requirements for each milestone in the digital transformation roadmap, aligning them with the overall goal.","c9a109b8-eb5c-4ec3-b8c4-7c0dbf4de12b","2026-01-05T15:37:07.853Z","695bdaa4bc7af36c6f124d25","2026-01-05T15:37:08.089000","2026-01-05T15:37:08.089000","anonymous","anonymous","false"
"Clarify the digital transformation goals of Top managers to department members, focusing on goals related to Production.","c9a109b8-eb5c-4ec3-b8c4-7c0dbf4de12b","2026-01-05T15:36:47.430Z","695bda9080026e99c603ec55","2026-01-05T15:36:48.064000","2026-01-05T15:36:48.064000","anonymous","anonymous","false"
"Statement 4","0faae8e3-9d8d-456d-927c-72e3e608a22a","2026-01-05T13:29:12.471Z","695bbca97b62cf98f1ebacd4","2026-01-05T13:29:13.394000","2026-01-05T13:29:13.394000","anonymous","anonymous","false"
"Statement 3","0faae8e3-9d8d-456d-927c-72e3e608a22a","2026-01-05T13:29:08.581Z","695bbca56d2358b3faf16fc7","2026-01-05T13:29:09.229000","2026-01-05T13:29:09.229000","anonymous","anonymous","false"
"Statement 2","0faae8e3-9d8d-456d-927c-72e3e608a22a","2026-01-05T13:29:04.299Z","695bbca05421ce86910a501b","2026-01-05T13:29:04.360000","2026-01-05T13:29:04.360000","anonymous","anonymous","false"
"Statement 1","0faae8e3-9d8d-456d-927c-72e3e608a22a","2026-01-05T13:28:59.501Z","695bbc9c0580070e27819a5f","2026-01-05T13:29:00.444000","2026-01-05T13:29:00.444000","anonymous","anonymous","false"
"Commitment from leadership","1bcbccfe-54d9-4e71-b8b9-210f70fb1bbc","2026-01-05T11:41:22.098Z","695ba3616bd18b710133e15b","2026-01-05T11:41:21.230000","2026-01-05T13:38:02.752000","anonymous","anonymous","false"
"Data used for digital transformation must be comprehensively collected to avoid any inaccuracies.","1bcbccfe-54d9-4e71-b8b9-210f70fb1bbc","2026-01-05T11:40:52.220Z","695ba34374783d560393fa49","2026-01-05T11:40:51.356000","2026-01-05T14:07:50.579000","anonymous","anonymous","false"
"Our team has expertise in data, AI, cloud computing.","1bcbccfe-54d9-4e71-b8b9-210f70fb1bbc","2026-01-05T11:40:04.590Z","695ba3130c7a0a2e2f75ffcf","2026-01-05T11:40:03.746000","2026-01-05T14:08:33.884000","anonymous","anonymous","false"
"The software that is currently in use cannot be replaced then must be migrated.","1bcbccfe-54d9-4e71-b8b9-210f70fb1bbc","2026-01-05T11:37:45.714Z","695ba2880c7a0a2e2f75ff9d","2026-01-05T11:37:44.861000","2026-01-05T14:10:49.729000","anonymous","anonymous","false"
"The different departments must be interconnected, share data with each other.","1bcbccfe-54d9-4e71-b8b9-210f70fb1bbc","2026-01-05T11:37:08.770Z","695ba2641f6444a89c7ee4d7","2026-01-05T11:37:08.196000","2026-01-05T14:11:31.102000","anonymous","anonymous","false"