research_question,resultat,significant,methodology_with_citation,recommendation
"Q9: Do participants exhibit different mapping styles (overall tendencies)?","1bcbccfe-54d9-4e71-b8b9-210f70fb1bbc: high_high_rate=45.83% (11/24), mean_x=4.54, mean_y=5.25.","N/A (descriptive participant tendency).","Compute participant mean x/y, variance, and high-high proportion (x≥5,y≥5). Sources: arithmetic mean, variance, and proportions (https://en.wikipedia.org/wiki/Arithmetic_mean, https://en.wikipedia.org/wiki/Variance, https://en.wikipedia.org/wiki/Proportion_(statistics)).","Include (illustrative participant style)."
"Q9: Do participants exhibit different mapping styles (overall tendencies)?","cdecce63-879c-40b2-b10f-9c7fa53bd875: high_high_rate=36.00% (9/25), mean_x=3.68, mean_y=5.80.","N/A (descriptive participant tendency).","Compute participant mean x/y, variance, and high-high proportion (x≥5,y≥5). Sources: arithmetic mean, variance, and proportions (https://en.wikipedia.org/wiki/Arithmetic_mean, https://en.wikipedia.org/wiki/Variance, https://en.wikipedia.org/wiki/Proportion_(statistics)).","Include (illustrative participant style)."
"Q10: How extreme/consistent are participants in their placements?","Average extremity rate: 32.84%.","N/A (descriptive rate).","Compute extremity rate as proportion of placements on grid edges and within-person SD of x/y. Sources: proportions and standard deviation (https://en.wikipedia.org/wiki/Proportion_(statistics), https://www.itl.nist.gov/div898/handbook/eda/section3/eda35b.htm).","Include (overall summary)."
"Q10: How extreme/consistent are participants in their placements?","Average SD X: 1.48; Average SD Y: 1.76.","N/A (descriptive SD).","Compute extremity rate as proportion of placements on grid edges and within-person SD of x/y. Sources: proportions and standard deviation (https://en.wikipedia.org/wiki/Proportion_(statistics), https://www.itl.nist.gov/div898/handbook/eda/section3/eda35b.htm).","Include (overall summary)."
"Q10: How extreme/consistent are participants in their placements?","30545a77-664a-44d4-9d54-a7c1993a32b9: extremity_rate=57.14% (8/14), sd_x=1.34, sd_y=0.77.","N/A (descriptive rate).","Compute extremity rate as proportion of placements on grid edges and within-person SD of x/y. Sources: proportions and standard deviation (https://en.wikipedia.org/wiki/Proportion_(statistics), https://www.itl.nist.gov/div898/handbook/eda/section3/eda35b.htm).","Include (example of extreme participant)."
"Q10: How extreme/consistent are participants in their placements?","ad1b9e2e-51bb-4e90-a9ad-816022f82dc4: extremity_rate=56.52% (13/23), sd_x=1.95, sd_y=1.63.","N/A (descriptive rate).","Compute extremity rate as proportion of placements on grid edges and within-person SD of x/y. Sources: proportions and standard deviation (https://en.wikipedia.org/wiki/Proportion_(statistics), https://www.itl.nist.gov/div898/handbook/eda/section3/eda35b.htm).","Include (example of extreme participant)."
"Q10: How extreme/consistent are participants in their placements?","cdecce63-879c-40b2-b10f-9c7fa53bd875: extremity_rate=48.00% (12/25), sd_x=2.08, sd_y=1.12.","N/A (descriptive rate).","Compute extremity rate as proportion of placements on grid edges and within-person SD of x/y. Sources: proportions and standard deviation (https://en.wikipedia.org/wiki/Proportion_(statistics), https://www.itl.nist.gov/div898/handbook/eda/section3/eda35b.htm).","Include (example of extreme participant)."
"Q11: Can participants be grouped into placement profiles based on shared seeds?","Clusters formed: 2; silhouette-selected k=2; silhouette=0.4614.","N/A (clustering validity score).","Standardize participant vectors on shared seeds, select k via gap statistic and silhouette, then run k-means. Sources: k-means, gap statistic, silhouette (https://en.wikipedia.org/wiki/K-means_clustering, https://en.wikipedia.org/wiki/Gap_statistic, https://en.wikipedia.org/wiki/Silhouette_(clustering)).","Include (explains clustering outcome)."
"Q12: Which statements best separate participant clusters?","Not analyzed: Q11 excluded, so no cluster-separating statement output.","N/A (no test).","Would compute between-cluster centroid gaps per statement if clusters existed (conceptually based on centroid distance). Sources: centroid and Euclidean distance (https://en.wikipedia.org/wiki/Centroid, https://en.wikipedia.org/wiki/Euclidean_distance).","Exclude (no available output)."
"Q13: Do placements differ by function (e.g., Marketing vs Product)?","Kruskal-Wallis p-value (X): 0.4151.","p=0.4151.","Compare X and Y distributions across functions using Kruskal-Wallis H test. Source: NIST on Kruskal-Wallis (https://www.itl.nist.gov/div898/handbook/eda/section3/eda35f.htm).","Include (non-significant)."
"Q13: Do placements differ by function (e.g., Marketing vs Product)?","Kruskal-Wallis p-value (Y): 0.7928.","p=0.7928.","Compare X and Y distributions across functions using Kruskal-Wallis H test. Source: NIST on Kruskal-Wallis (https://www.itl.nist.gov/div898/handbook/eda/section3/eda35f.htm).","Include (non-significant)."
"Q13: Do placements differ by function (e.g., Marketing vs Product)?","Top centroid distance: Design vs Operations = 1.26 (Δx -1.19, Δy -0.42).","N/A (descriptive distance).","Compute function centroids and rank by Euclidean distance. Sources: centroid and Euclidean distance (https://en.wikipedia.org/wiki/Centroid, https://en.wikipedia.org/wiki/Euclidean_distance).","Include (illustrative contrast)."
"Q14: Do placements differ by country/region?","Kruskal-Wallis p-value (X): 0.0053.","p=0.0053.","Compare X and Y distributions across countries using Kruskal-Wallis H test. Source: NIST on Kruskal-Wallis (https://www.itl.nist.gov/div898/handbook/eda/section3/eda35f.htm).","Include (significant)."
"Q14: Do placements differ by country/region?","Kruskal-Wallis p-value (Y): 0.0038.","p=0.0038.","Compare X and Y distributions across countries using Kruskal-Wallis H test. Source: NIST on Kruskal-Wallis (https://www.itl.nist.gov/div898/handbook/eda/section3/eda35f.htm).","Include (significant)."
"Q14: Do placements differ by country/region?","Top centroid distance: France vs Singapore = 2.38 (Δx 1.68, Δy -1.68).","N/A (descriptive distance).","Compute country centroids and rank by Euclidean distance. Sources: centroid and Euclidean distance (https://en.wikipedia.org/wiki/Centroid, https://en.wikipedia.org/wiki/Euclidean_distance).","Include (illustrative contrast)."
"Q15: Do placements differ by role level?","Kruskal-Wallis p-value (X): 0.9207.","p=0.9207.","Compare X and Y distributions across role levels using Kruskal-Wallis H test. Source: NIST on Kruskal-Wallis (https://www.itl.nist.gov/div898/handbook/eda/section3/eda35f.htm).","Include (non-significant)."
"Q15: Do placements differ by role level?","Kruskal-Wallis p-value (Y): 0.6959.","p=0.6959.","Compare X and Y distributions across role levels using Kruskal-Wallis H test. Source: NIST on Kruskal-Wallis (https://www.itl.nist.gov/div898/handbook/eda/section3/eda35f.htm).","Include (non-significant)."
"Q15: Do placements differ by role level?","Top centroid distance: Senior manager vs Staff = 0.49 (Δx 0.16, Δy -0.46).","N/A (descriptive distance).","Compute role centroids and rank by Euclidean distance. Sources: centroid and Euclidean distance (https://en.wikipedia.org/wiki/Centroid, https://en.wikipedia.org/wiki/Euclidean_distance).","Include (illustrative contrast)."
"Q16: Does tenure predict perceived implementability/impact?","Tenure vs mean implementability: r = -0.14, p = 0.617.","p=0.617.","Compute Pearson correlation between tenure and mean x/y per participant. Source: NIST on correlation (https://www.itl.nist.gov/div898/handbook/eda/section3/eda35a.htm).","Include (non-significant)."
"Q16: Does tenure predict perceived implementability/impact?","Tenure vs mean impact: r = 0.42, p = 0.107.","p=0.107.","Compute Pearson correlation between tenure and mean x/y per participant. Source: NIST on correlation (https://www.itl.nist.gov/div898/handbook/eda/section3/eda35a.htm).","Include (non-significant)."
"Q16: Does tenure predict perceived implementability/impact?","Tenure vs extremity rate: r = 0.53, p = 0.033.","p=0.033.","Compute Pearson correlation between tenure and extremity rate per participant. Source: NIST on correlation (https://www.itl.nist.gov/div898/handbook/eda/section3/eda35a.htm).","Include (significant)."
"Q17: Does hybrid % relate to placement patterns?","Hybrid% vs mean implementability: r = -0.52, p = 0.037.","p=0.037.","Compute Pearson correlation between hybrid% and mean x/y per participant. Source: NIST on correlation (https://www.itl.nist.gov/div898/handbook/eda/section3/eda35a.htm).","Include (significant)."
"Q17: Does hybrid % relate to placement patterns?","Hybrid% vs mean impact: r = 0.60, p = 0.013.","p=0.013.","Compute Pearson correlation between hybrid% and mean x/y per participant. Source: NIST on correlation (https://www.itl.nist.gov/div898/handbook/eda/section3/eda35a.htm).","Include (significant)."
"Q17: Does hybrid % relate to placement patterns?","Hybrid% vs extremity rate: r = 0.43, p = 0.098.","p=0.098.","Compute Pearson correlation between hybrid% and extremity rate per participant. Source: NIST on correlation (https://www.itl.nist.gov/div898/handbook/eda/section3/eda35a.htm).","Include (borderline/non-significant)."
"Q17: Does hybrid % relate to placement patterns?","Share three user stories that embody the goal: r = -0.97, p = 0.000 (implementability).","p=0.000.","Compute statement-level Pearson correlation between hybrid% and statement x placement. Source: NIST on correlation (https://www.itl.nist.gov/div898/handbook/eda/section3/eda35a.htm).","Include (strong statement-level signal)."
"Q17: Does hybrid % relate to placement patterns?","Protect 2 hours/week for learning tied to the goal: r = 0.93, p = 0.000 (implementability).","p=0.000.","Compute statement-level Pearson correlation between hybrid% and statement x placement. Source: NIST on correlation (https://www.itl.nist.gov/div898/handbook/eda/section3/eda35a.htm).","Include (strong statement-level signal)."
"Q17: Does hybrid % relate to placement patterns?","Invite skeptics to a structured Q&A: r = -0.81, p = 0.000 (implementability).","p=0.000.","Compute statement-level Pearson correlation between hybrid% and statement x placement. Source: NIST on correlation (https://www.itl.nist.gov/div898/handbook/eda/section3/eda35a.htm).","Include (strong statement-level signal)."
"Q17: Does hybrid % relate to placement patterns?","Pin the latest goal post at the top: r = 0.92, p = 0.000 (impact).","p=0.000.","Compute statement-level Pearson correlation between hybrid% and statement y placement. Source: NIST on correlation (https://www.itl.nist.gov/div898/handbook/eda/section3/eda35a.htm).","Include (strong statement-level signal)."
"Q17: Does hybrid % relate to placement patterns?","Protect 2 hours/week for learning tied to the goal: r = 0.88, p = 0.000 (impact).","p=0.000.","Compute statement-level Pearson correlation between hybrid% and statement y placement. Source: NIST on correlation (https://www.itl.nist.gov/div898/handbook/eda/section3/eda35a.htm).","Include (strong statement-level signal)."
"Q17: Does hybrid % relate to placement patterns?","Keep a living FAQ of recurring goal questions: r = 0.85, p = 0.000 (impact).","p=0.000.","Compute statement-level Pearson correlation between hybrid% and statement y placement. Source: NIST on correlation (https://www.itl.nist.gov/div898/handbook/eda/section3/eda35a.htm).","Include (strong statement-level signal)."
"Q18: Do raw (self-generated) statements land in different regions than seed statements?","Raw mean (x,y)=5.324,5.732 vs Seed mean (x,y)=4.432,4.629; mean diff (x,y)=0.892,1.103.","Mann-Whitney p-value X/Y: nan (scipy unavailable).","Compare distributions of raw vs seed placements using Mann–Whitney U and effect size (Cliff's delta). Sources: Mann–Whitney U and Cliff's delta (https://www.itl.nist.gov/div898/handbook/eda/section3/eda35c.htm, https://en.wikipedia.org/wiki/Cliff%27s_delta).","Include (descriptive differences; note p-value unavailable)."
"Q18: Do raw (self-generated) statements land in different regions than seed statements?","Cliff's delta X=0.358; Cliff's delta Y=0.285.","Mann-Whitney p-value X/Y: nan (scipy unavailable).","Compare distributions of raw vs seed placements using Mann–Whitney U and effect size (Cliff's delta). Sources: Mann–Whitney U and Cliff's delta (https://www.itl.nist.gov/div898/handbook/eda/section3/eda35c.htm, https://en.wikipedia.org/wiki/Cliff%27s_delta).","Include (effect size)."
"Q19: What themes emerge in raw statements, and where do those themes land on the grid?","Communication & Change: mean_x=5.88, mean_y=5.36 (sd_x=0.88, sd_y=1.22).","N/A (descriptive theme centroid).","Group raw statements by theme and compute centroid (mean) and SD. Sources: arithmetic mean and standard deviation (https://en.wikipedia.org/wiki/Arithmetic_mean, https://www.itl.nist.gov/div898/handbook/eda/section3/eda35b.htm).","Include (theme mapping)."
"Q19: What themes emerge in raw statements, and where do those themes land on the grid?","Goals, KPIs & Strategy: mean_x=5.08, mean_y=6.00 (sd_x=0.79, sd_y=0.95).","N/A (descriptive theme centroid).","Group raw statements by theme and compute centroid (mean) and SD. Sources: arithmetic mean and standard deviation (https://en.wikipedia.org/wiki/Arithmetic_mean, https://www.itl.nist.gov/div898/handbook/eda/section3/eda35b.htm).","Include (theme mapping)."
"Q19: What themes emerge in raw statements, and where do those themes land on the grid?","Training & Skills: mean_x=5.56, mean_y=5.67 (sd_x=1.01, sd_y=0.71).","N/A (descriptive theme centroid).","Group raw statements by theme and compute centroid (mean) and SD. Sources: arithmetic mean and standard deviation (https://en.wikipedia.org/wiki/Arithmetic_mean, https://www.itl.nist.gov/div898/handbook/eda/section3/eda35b.htm).","Include (theme mapping)."
"Q19: What themes emerge in raw statements, and where do those themes land on the grid?","Process & Compliance: mean_x=4.71, mean_y=6.00 (sd_x=1.80, sd_y=0.82).","N/A (descriptive theme centroid).","Group raw statements by theme and compute centroid (mean) and SD. Sources: arithmetic mean and standard deviation (https://en.wikipedia.org/wiki/Arithmetic_mean, https://www.itl.nist.gov/div898/handbook/eda/section3/eda35b.htm).","Include (theme mapping)."
"Q19: What themes emerge in raw statements, and where do those themes land on the grid?","Technology & Infrastructure: mean_x=5.86, mean_y=6.00 (sd_x=0.90, sd_y=0.82).","N/A (descriptive theme centroid).","Group raw statements by theme and compute centroid (mean) and SD. Sources: arithmetic mean and standard deviation (https://en.wikipedia.org/wiki/Arithmetic_mean, https://www.itl.nist.gov/div898/handbook/eda/section3/eda35b.htm).","Include (theme mapping)."
"Q19: What themes emerge in raw statements, and where do those themes land on the grid?","People & Resourcing: mean_x=3.67, mean_y=6.00 (sd_x=2.16, sd_y=0.63).","N/A (descriptive theme centroid).","Group raw statements by theme and compute centroid (mean) and SD. Sources: arithmetic mean and standard deviation (https://en.wikipedia.org/wiki/Arithmetic_mean, https://www.itl.nist.gov/div898/handbook/eda/section3/eda35b.htm).","Include (theme mapping)."
"Q19: What themes emerge in raw statements, and where do those themes land on the grid?","Other / Placeholder: mean_x=4.50, mean_y=5.75 (sd_x=1.73, sd_y=0.96).","N/A (descriptive theme centroid).","Group raw statements by theme and compute centroid (mean) and SD. Sources: arithmetic mean and standard deviation (https://en.wikipedia.org/wiki/Arithmetic_mean, https://www.itl.nist.gov/div898/handbook/eda/section3/eda35b.htm).","Include (theme mapping)."
"Q19: What themes emerge in raw statements, and where do those themes land on the grid?","Data & Integration: mean_x=6.00, mean_y=7.00 (sd_x=0.00, sd_y=0.00).","N/A (descriptive theme centroid).","Group raw statements by theme and compute centroid (mean) and SD. Sources: arithmetic mean and standard deviation (https://en.wikipedia.org/wiki/Arithmetic_mean, https://www.itl.nist.gov/div898/handbook/eda/section3/eda35b.htm).","Include (theme mapping)."
"Q20: Do raw statements reinforce or contradict seed priorities?","Mean distance to nearest seed: 1.24 (median 1.28).","N/A (descriptive distance).","Map each raw statement to nearest seed by Euclidean distance in grid space and compute distance distribution. Source: Euclidean distance (https://en.wikipedia.org/wiki/Euclidean_distance).","Include (alignment magnitude)."
"Q20: Do raw statements reinforce or contradict seed priorities?","Alignment breakdown: Reinforces 55, Mixed 16, Contradicts 0.","N/A (descriptive counts).","Classify raw statements by quadrant match vs seed placement and tally counts. Source: Euclidean distance for nearest seed (https://en.wikipedia.org/wiki/Euclidean_distance).","Include (alignment direction)."
